,a,b,a_count,b_count,ab_count,pmi
25439,avocado,grapefruit,800,110,13,2.7861654683059243
7125,cilantro,mango,1981,352,103,2.786048970237719
48689,mozzarella_cheese,provolone_cheese,1935,196,56,2.785682630345481
18842,black_tea,lime,34,1000,5,2.7816303131405333
4283,almond,rose,2360,49,17,2.781284352230665
34064,anise_seed,sesame_seed,67,510,5,2.776642771629494
1545,endive,grape_juice,81,844,10,2.776291648030381
10161,black_bean,cumin,527,3232,249,2.7757041325870904
28389,chive,smoked_salmon,1343,107,21,2.7753406110430103
21917,ham,smoke,1459,455,97,2.775215215334378
14391,tuna,wheat_bread,483,114,8,2.769534643937499
36840,cocoa,peppermint,4420,131,84,2.768032704875149
50521,cocoa,coffee,4420,640,410,2.767102212577623
50383,caviar,dill,27,1280,5,2.76529389382084
1634,cereal,whole_grain_wheat_flour,296,981,42,2.765045908698676
36551,red_kidney_bean,smoke,76,455,5,2.76471535750155
45805,lentil,turmeric,247,930,33,2.7582428429959327
29308,cauliflower,radish,387,162,9,2.7575117533787847
27055,brassica,ham,53,1459,11,2.7484050150281942
5961,roasted_sesame_seed,sesame_oil,119,356,6,2.744013449569226
38271,oyster,shallot,184,616,16,2.740714205402007
9397,black_bean,chickpea,527,417,31,2.740008638449714
8088,cashew,soybean,204,452,13,2.7394553880898203
43450,cilantro,papaya,1981,43,12,2.738657691700618
22651,brown_rice,okra,435,98,6,2.73775416377353
6971,cashew,pistachio,204,209,6,2.7376134277237587
14759,citrus,raisin,96,2005,27,2.7343975391005544
12014,anise,ginger,227,2613,83,2.731944529099314
39916,bean,kidney_bean,2204,623,192,2.7312278872722544
26534,chive,truffle,1343,32,6,2.729670574209822
1988,lemongrass,soy_sauce,44,1794,11,2.727810800566099
38522,anise,pumpkin,227,759,24,2.727410239775644
15384,beef_broth,veal,656,121,11,2.7222521425622714
51306,orange,tangerine,1630,31,7,2.72189585507409
49691,avocado,mango,800,352,39,2.721626947168353
27946,saffron,smoke,127,455,8,2.7212652405750255
18120,caraway,smoked_sausage,215,336,10,2.7211441092079096
50160,basil,lavender,4637,64,41,2.719174303257906
33036,bay,lentil,1319,247,45,2.7189532047297593
46336,lime_juice,palm,1451,25,5,2.716862038986443
16362,lamb,saffron,343,127,6,2.716150139908255
25978,cherry,pineapple,1088,1886,282,2.713905384633554
22449,cilantro,lime,1981,1000,272,2.7129979449200405
23986,baked_potato,cheddar_cheese,10,4371,6,2.712735485675426
32158,lobster,shallot,107,616,9,2.7074569836455247
11921,blueberry,melon,670,164,15,2.707214265197731
45730,avocado,lime,800,1000,109,2.7052890798838103
9454,gelatin,mandarin,1689,335,77,2.7040911775255485
47604,smoke,turkey,455,1050,65,2.7038526120978488
9626,kidney_bean,tomato_juice,623,248,21,2.7028553770757187
